movie-recommender  | INFO:     172.18.0.2:48816 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:57254 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:45320 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:50346 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:46126 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:44280 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:49780 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:41348 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:40714 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:50978 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:48778 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:51568 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:39428 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:46112 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:46372 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:58830 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:34440 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:53868 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:33594 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:60984 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:59410 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:51302 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:38708 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:53410 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:58626 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:36422 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:36438 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:38628 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:44526 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:53352 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:50024 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:54470 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:43092 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:59664 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:46654 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:46858 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:43816 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:42764 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:60652 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:42586 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:35492 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:35654 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:59216 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:41978 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:35642 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:44634 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:58708 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:57580 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:53856 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:53822 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:43990 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:48452 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:48864 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:50774 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:34674 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:54892 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:40402 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:33464 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:59776 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:50386 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:54702 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:33430 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:49884 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:57216 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:56808 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:48012 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:55512 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:55090 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:58646 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:60514 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:38472 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:37284 - "GET /metrics HTTP/1.1" 200 OK
